,Capital,BE Liabs,SII Liabs
0,0.0003432955592870711,0.0,0.0
1,762018.4767387958,0.0,0.0
2,1584148.4123240479,0.0,0.0
3,2463396.1451423764,0.0,0.0
4,3403690.6760508316,0.0,0.0
5,4400918.527677444,0.0,0.0
6,5459782.156623333,0.0,0.0
7,6565951.95368482,0.0,0.0
8,7733456.63208207,0.0,0.0
9,8963255.304706087,0.0,0.0
10,10250802.038952049,0.0,0.0
11,11600387.70883528,0.0,0.0
12,13007447.873728259,0.0,0.0
13,14467769.494462425,0.0,0.0
14,15968843.824379316,0.0,0.0
15,17494881.557987165,0.0,0.0
16,19014515.88039602,0.0,0.0
17,20553498.11172418,0.0,0.0
18,22096685.26948794,0.0,0.0
19,23640782.59839815,0.0,0.0
20,25148442.581065673,0.0,0.0
21,26678218.184733775,0.0,0.0
22,28211219.813598312,0.0,0.0
23,29748683.278745186,0.0,0.0
24,31279133.99365981,0.0,0.0
25,32808078.889965,0.0,0.0
26,34325732.43541235,0.0,0.0
27,35854327.28947268,0.0,0.0
28,37417709.7904116,0.0,0.0
29,39012920.983105786,0.0,0.0
30,40657079.38881161,0.0,0.0
31,42353295.047317944,0.0,0.0
32,44099334.599580415,0.0,0.0
33,45905482.57811978,0.0,0.0
34,47752181.80848989,0.0,0.0
35,49662704.528452985,0.0,0.0
36,51654697.97613023,0.0,0.0
37,53723325.32876394,0.0,0.0
38,55868777.56760813,0.0,0.0
39,58101523.91148469,0.0,0.0
40,60423519.96635147,0.0,0.0
41,,,
42,,,
43,,,
44,,,
45,,,
