,Loan Value,Property Value,Intrinsic NNEG,Market NNEG,Loan Net of Int NNEG,Loan Net of Mkt NNEG,IFRS
0,1.0,2.5,0.0,0.0,1.0,1.0,0.8598655906849565
1,1.07,2.575,0.0,3.2958302186912534e-15,1.07,1.0699999999999967,0.9222584960275726
2,1.1449,2.65225,0.0,2.0546231852772596e-08,1.1449,1.1448999794537682,0.9890352402766622
3,1.225043,2.7318175,0.0,5.014097857859528e-06,1.225043,1.2250379859021423,1.060469553677474
4,1.3107960100000002,2.8137720250000005,0.0,9.039770840343626e-05,1.3107960100000002,1.3107056122915968,1.1368544569818115
5,1.4025517307000004,2.89818518575,0.0,0.0005601608514334147,1.4025517307000004,1.401991569848567,1.2184953223379915
6,1.5007303518490005,2.9851307413225,0.0,0.0020095301174934826,1.5007303518490005,1.4987208217315071,1.3057089995934614
7,1.6057814764784306,3.0746846635621754,0.0,0.005237905100251433,1.6057814764784306,1.6005435713781793,1.3988222504270489
8,1.718186179831921,3.1669252034690407,0.0,0.011133258231472598,1.718186179831921,1.7070529216004484,1.4981696908672402
9,1.8384592124201555,3.2619329595731124,0.0,0.02059534637722267,1.8384592124201555,1.817863866042933,1.60409062990504
10,1.9671513572895665,3.3597909483603057,0.0,0.03450056986196762,1.9671513572895665,1.9326507874275989,1.7169246655282693
11,2.1048519522998363,3.4605846768111146,0.0,0.05369349392941947,2.1048519522998363,2.0511584583704168,1.8370061931551813
12,2.252191588960825,3.564402217115448,0.0,0.07899199477643837,2.252191588960825,2.1731995941843865,1.964656390098667
13,2.4098450001880827,3.6713342836289122,0.0,0.11119811083125947,2.4098450001880827,2.298646889356823,2.1001723643685883
14,2.5785341502012487,3.78147431213778,0.0,0.15111050572471418,2.5785341502012487,2.4274236444765345,2.2438134560874134
15,2.7590315407153363,3.8949185415019127,0.0,0.19953668428803206,2.7590315407153363,2.559494856427304,2.395780142524782
16,2.95216374856541,4.01176609774697,0.0,0.2573042668981671,2.95216374856541,2.694859481667243,2.5561874914910554
17,3.1588152109649887,4.132119080679379,0.0,0.32527118494134344,3.1588152109649887,2.8335440260236453,2.7250246800175413
18,3.3799322757325383,4.256082653099761,0.0,0.4043349018042941,3.3799322757325383,2.9755973739282444,2.902102343048207
19,3.6165275350338164,4.383765132692754,0.0,0.495440850488873,3.6165275350338164,3.1210866845449434,3.086988363102061
20,3.8696844624861835,4.515278086673537,0.0,0.5995902943071942,3.8696844624861835,3.2700941681789892,3.2789456918823765
21,4.140562374860217,4.650736429273743,0.0,0.7178478028123441,4.140562374860217,3.4227145720478727,3.4768975159266278
22,4.430401741100432,4.790258522151955,0.0,0.8513485110500889,4.430401741100432,3.5790532300503433,3.679459682284062
23,4.740529862977462,4.9339662778165145,0.0,1.0013053053343437,4.740529862977462,3.7392245576431185,3.885058825291448
24,5.0723669533858855,5.08198526615101,0.0,1.1690160566662464,5.0723669533858855,3.903350896719639,4.092134795358016
25,5.427432640122897,5.23444482413554,0.19298781598735726,1.3558710047359637,5.23444482413554,4.071561635386933,4.2993802783259225
26,5.807352924931501,5.3914781688596065,0.4158747560718945,1.5633603811628687,5.3914781688596065,4.243992543768632,4.505939950051653
27,6.213867629676706,5.5532225139253955,0.6606451157513105,1.7930823498085053,5.5532225139253955,4.4207852798682,4.71150454969076
28,6.648838363754076,5.719819189343157,0.9290191744109189,2.046751334088048,5.719819189343157,4.602087029666029,4.9162809156894225
29,7.114257049216862,5.891413765023453,1.2228432841934094,2.3262067956810566,5.891413765023453,4.788050253535806,5.120863227595874
30,7.612255042662042,6.0681561779741555,1.5440988646878866,2.6334225254448356,6.0681561779741555,4.9788325172172065,5.3260614194426275
31,8.145112895648387,6.250200863313379,1.8949120323350073,2.970516505290305,6.250200863313379,5.174596390358081,5.532750259146368
32,8.715270798343774,6.437706889212782,2.2775639091309916,3.3397613989959245,6.437706889212782,5.375509399347849,5.741767023203881
33,9.325339754227839,6.630838095889166,2.694501658338673,3.743595730181617,6.630838095889166,5.5817440240462215,5.953856289798032
34,9.978113537023788,6.829763238765841,3.148350298257947,4.18463580676813,6.829763238765841,5.793477730255658,6.169655389721588
35,10.676581484615452,7.034656135928817,3.6419253486866356,4.665688453078312,7.034656135928817,6.01089303153714,6.389700512487696
36,11.423942188538536,7.245695820006681,4.178246368531855,5.189764613199775,7.245695820006681,6.234177575338761,6.614438856277319
37,12.223618141736234,7.463066694606882,4.760551447129352,5.760093892254983,7.463066694606882,6.46352424948125,6.844247485675026
38,13.079271411657771,7.686958695445089,5.3923127162126825,6.380140105767887,7.686958695445089,6.6991313058898845,7.079448166862454
39,13.994820410473816,7.917567456308441,6.077252954165375,7.053617911344463,7.917567456308441,6.941202499129353,7.3203236653624995
40,14.974457839206984,8.155094479997695,6.819363359209289,7.784510601380963,8.155094479997695,7.189947237826021,7.56712925912526
41,16.022669887951473,8.399747314397626,7.622922573553847,8.577089140470182,8.399747314397626,7.445580747481291,7.820103322405443
42,17.144256780108076,8.651739733829555,8.492517046278522,9.435932536594407,8.651739733829555,7.708324243513669,8.079476392011127
43,18.344354754715646,8.911291925844441,9.433062828871204,10.365949641081704,8.911291925844441,7.978405113633942,8.345474668554475
44,19.62845958754574,9.178630683619776,10.449828903925965,11.372402478673882,9.178630683619776,8.25605710887186,8.618327264481517
45,21.002451758673942,9.453989604128367,11.548462154545575,12.460931215928992,9.453989604128367,8.54152054274495,8.898265957230993
46,22.47262338178112,9.73760929225222,12.7350140895289,13.637580883582,9.73760929225222,8.835042498199119,9.185528158341258
47,24.0457070185058,10.029737571019785,14.015969447486016,14.90882997644233,10.029737571019785,9.136877042063471,9.480358344183138
48,25.72890650980121,10.33062969815038,15.39827681165083,16.281621062947426,10.33062969815038,9.447285446853783,9.78300845765074
49,27.529929965487295,10.640548589094891,16.889381376392404,17.763393545653248,10.640548589094891,9.766536419834047,10.093741188756029
50,29.457025063071406,10.959765046767739,18.497260016303667,19.362118723763903,10.959765046767739,10.094906339307503,10.412836589106265
