,Capital,BE Liabs,SII Liabs
0,3.816280514001846e-07,0.0,0.0
1,32799.21796524254,0.0,0.0
2,67772.29649457087,0.0,0.0
3,105146.10853616022,0.0,0.0
4,144873.50770112424,0.0,0.0
5,187120.68408642404,0.0,0.0
6,231464.29449505222,0.0,0.0
7,278564.50910341134,0.0,0.0
8,328109.0100006158,0.0,0.0
9,380337.53657104244,0.0,0.0
10,434691.63854239305,0.0,0.0
11,490755.9557104941,0.0,0.0
12,548801.4484645114,0.0,0.0
13,608681.8869858403,0.0,0.0
14,671011.8644223857,0.0,0.0
15,735490.9825938147,0.0,0.0
16,802458.5448086443,0.0,0.0
17,870702.5118611192,0.0,0.0
18,940380.0960249233,0.0,0.0
19,1011179.5592405312,0.0,0.0
20,1081932.5850638407,0.0,0.0
21,1153927.3325657158,0.0,0.0
22,1226717.1422368991,0.0,0.0
23,1300587.8187177044,0.0,0.0
24,1374565.5124060463,0.0,0.0
25,1449782.8870365215,0.0,0.0
26,1525752.3067121159,0.0,0.0
27,1599384.2944359833,0.0,0.0
28,1673926.062563717,0.0,0.0
29,1749582.5784970797,0.0,0.0
30,1826594.1921697364,0.0,0.0
31,1904714.5703157482,0.0,0.0
32,1985337.494340376,0.0,0.0
33,2067933.794211508,0.0,0.0
34,2151612.2832288155,0.0,0.0
35,2238095.096257372,0.0,0.0
36,2328076.2198868324,0.0,0.0
37,2421810.2808598075,0.0,0.0
38,2518629.412371327,0.0,0.0
39,2619543.389505953,0.0,0.0
40,2724202.877844665,0.0,0.0
