,0
0,1.0
1,0.985757
2,0.9700440334199999
3,0.9527539685683217
4,0.9337817787922207
5,0.9130275449767847
6,0.8903999833296251
7,0.8658196013898275
8,0.8392233548743347
9,0.8105689126455055
10,0.7798394345982017
11,0.7470503057310857
12,0.7122541965907432
13,0.6755460398068494
14,0.6370696395636104
15,0.5970189825331649
16,0.5556437759866689
17,0.5132481558788861
18,0.47019022833773866
19,0.42687771507395117
20,0.38376007770747655
21,0.3413162131130296
22,0.30004118477748404
23,0.2604273472336824
24,0.22294429957368572
25,0.18801784560247212
26,0.15600837144218804
27,0.12719144111961572
28,0.10174310477184412
29,0.07973057708203656
30,0.06110966026568108
31,0.045730680943899246
32,0.033351934380557044
33,0.02365942867442022
34,0.01629155135320432
35,0.010865519842608796
36,0.007002773210962156
37,0.004350808990424365
38,0.002599225500587401
39,0.001489122281541528
40,0.0008158498917550017
41,0.0004261934566536788
42,0.00021163403238360392
43,9.957529367471234e-05
44,4.4243891937310234e-05
45,1.850027370634272e-05
46,7.253624315330266e-06
47,2.656777724351701e-06
48,9.05506895013066e-07
49,2.8603695103809726e-07
50,8.339636137076555e-08
