,Capital,BE Liabs,SII Liabs
0,0.0,0.0,0.0
1,79402533.83755182,0.0,0.0
2,163472837.6925417,0.0,0.0
3,249043965.8390933,0.0,0.0
4,335038506.37386686,0.0,0.0
5,423979799.71767694,0.0,0.0
6,514595939.66628295,0.0,0.0
7,607266596.4477621,0.0,0.0
8,702471538.8196468,0.0,0.0
9,796672044.0710279,0.0,0.0
10,892420823.631351,0.0,0.0
11,989820377.1511234,0.0,0.0
12,1085316366.322053,0.0,0.0
13,1177803200.999613,0.0,0.0
14,1271380122.905815,0.0,0.0
15,1362257478.5286622,0.0,0.0
16,1451469922.0869591,0.0,0.0
17,1535675954.4992619,0.0,0.0
18,1618747532.9283547,0.0,0.0
19,1699585294.1427975,0.0,0.0
20,1775138447.443253,0.0,0.0
21,1850722539.217575,0.0,0.0
22,1912516525.0748,0.0,0.0
23,1971698394.9689527,0.0,0.0
24,2030128948.4772923,0.0,0.0
25,2080284702.8450649,0.0,0.0
26,2124323755.5134716,0.0,0.0
27,2158339968.868686,0.0,0.0
28,2187396569.766128,0.0,0.0
29,2218988537.3919806,0.0,0.0
30,2240536007.2045183,0.0,0.0
31,2255825253.428534,0.0,0.0
32,2277532691.186097,0.0,0.0
33,2293235659.9069757,0.0,0.0
34,2304422250.3319364,0.0,0.0
35,2316710216.5863304,0.0,0.0
36,2323586963.6909037,0.0,0.0
37,2334000895.950138,0.0,0.0
38,2337616247.7560987,0.0,0.0
39,2333505469.5921288,0.0,0.0
40,2334119145.7709513,0.0,0.0
