,Capital,BE Liabs,SII Liabs
0,1.0073126759380103e-08,0.0,0.0
1,3145.8691742381657,0.0,0.0
2,6493.073975616775,0.0,0.0
3,10119.128620598989,0.0,0.0
4,14003.901157154703,0.0,0.0
5,18199.430086468135,0.0,0.0
6,22641.177779474932,0.0,0.0
7,27292.30847651723,0.0,0.0
8,32199.635105778685,0.0,0.0
9,37467.79239594425,0.0,0.0
10,42910.11736187536,0.0,0.0
11,48790.97766956879,0.0,0.0
12,54966.68985940141,0.0,0.0
13,61320.45663114239,0.0,0.0
14,67709.37590534594,0.0,0.0
15,74369.85445953764,0.0,0.0
16,81230.24779323913,0.0,0.0
17,88126.74011210616,0.0,0.0
18,95262.61929965654,0.0,0.0
19,102547.2043318298,0.0,0.0
20,110049.28500951266,0.0,0.0
21,117569.41189393717,0.0,0.0
22,125265.61763437661,0.0,0.0
23,133121.19751290546,0.0,0.0
24,140782.70192897198,0.0,0.0
25,148176.51663500327,0.0,0.0
26,155716.62336714723,0.0,0.0
27,163124.54905708964,0.0,0.0
28,170618.0971863572,0.0,0.0
29,177881.16644766933,0.0,0.0
30,185459.30582037015,0.0,0.0
31,193203.5545243998,0.0,0.0
32,201275.82225897888,0.0,0.0
33,209690.25173394268,0.0,0.0
34,218461.6085966429,0.0,0.0
35,227605.30955427862,0.0,0.0
36,236923.48686852015,0.0,0.0
37,246400.42634326097,0.0,0.0
38,256256.44339699126,0.0,0.0
39,266506.70113287104,0.0,0.0
40,277166.96917818586,0.0,0.0
