,Capital,BE Liabs,SII Liabs
0,0.0,0.0,0.0
1,36504831.33161012,0.0,0.0
2,73667279.788434,0.0,0.0
3,106947533.42777912,0.0,0.0
4,139361467.251484,0.0,0.0
5,168195423.1367832,0.0,0.0
6,196314489.0667266,0.0,0.0
7,220217004.07869068,0.0,0.0
8,239781611.11956748,0.0,0.0
9,256351548.4549718,0.0,0.0
10,267430913.01025093,0.0,0.0
11,273398472.2571625,0.0,0.0
12,272553698.9355346,0.0,0.0
13,262690763.98692322,0.0,0.0
14,245950233.31181622,0.0,0.0
15,220869917.66581017,0.0,0.0
16,190247855.79102975,0.0,0.0
17,146851577.7483669,0.0,0.0
18,95412255.35541174,0.0,0.0
19,27561405.872761246,0.0,0.0
20,-51975764.692171484,0.0,0.0
21,-144683792.99134254,0.0,0.0
22,-251658423.05924612,0.0,0.0
23,-369615692.5548418,0.0,0.0
24,-502896847.20038897,0.0,0.0
25,-654579953.4091654,0.0,0.0
26,-825413088.7128545,0.0,0.0
27,-1004248978.8808416,0.0,0.0
28,-1190658517.15588,0.0,0.0
29,-1394761974.7500768,0.0,0.0
30,-1613846117.2223077,0.0,0.0
31,-1844647586.7450757,0.0,0.0
32,-2086046601.7922835,0.0,0.0
33,-2350375660.5688286,0.0,0.0
34,-2626486281.2336864,0.0,0.0
35,-2915040006.050341,0.0,0.0
36,-3225845529.431576,0.0,0.0
37,-3547851195.114016,0.0,0.0
38,-3884640626.289443,0.0,0.0
39,-4238614240.355603,0.0,0.0
40,-4603020255.003611,0.0,0.0
